photo/enforcement place leader/891229各執行處處長佈達-10屏東.jpg,891229各執行處處長佈達-10屏東
photo/enforcement place leader/891229各執行處處長佈達-11花蓮.jpg,891229各執行處處長佈達-11花蓮
photo/enforcement place leader/891229各執行處處長佈達-12宜蘭.jpg,891229各執行處處長佈達-12宜蘭
photo/enforcement place leader/891229各執行處處長佈達-1台北.jpg,891229各執行處處長佈達-1台北
photo/enforcement place leader/891229各執行處處長佈達-2板橋.jpg,891229各執行處處長佈達-2板橋
photo/enforcement place leader/891229各執行處處長佈達-3桃園.jpg,891229各執行處處長佈達-3桃園
photo/enforcement place leader/891229各執行處處長佈達-4新竹.jpg,891229各執行處處長佈達-4新竹
photo/enforcement place leader/891229各執行處處長佈達-5台中.jpg,891229各執行處處長佈達-5台中
photo/enforcement place leader/891229各執行處處長佈達-6彰化.jpg,891229各執行處處長佈達-6彰化
photo/enforcement place leader/891229各執行處處長佈達-7嘉義.jpg,891229各執行處處長佈達-7嘉義
photo/enforcement place leader/891229各執行處處長佈達-8台南.jpg,891229各執行處處長佈達-8台南
photo/enforcement place leader/891229各執行處處長佈達-9高雄.jpg,891229各執行處處長佈達-9高雄
photo/enforcement place leader/960829行政執行處卸新任處長聯合交接及宣誓典禮.jpg,960829行政執行處卸新任處長聯合交接及宣誓典禮
photo/enforcement place leader/本署所屬嘉義、新竹、花蓮及宜蘭行政執行處處長（含代理處長）聯合交接典禮暨宣誓典禮-1(20020102).jpg,本署所屬嘉義、新竹、花蓮及宜蘭行政執行處處長（含代理處長）聯合交接典禮暨宣誓典禮-1(20020102)
photo/enforcement place leader/本署所屬嘉義、新竹、花蓮及宜蘭行政執行處處長（含代理處長）聯合交接典禮暨宣誓典禮-2(20020102).jpg,本署所屬嘉義、新竹、花蓮及宜蘭行政執行處處長（含代理處長）聯合交接典禮暨宣誓典禮-2(20020102)
photo/enforcement place leader/本署所屬嘉義、新竹、花蓮及宜蘭行政執行處處長（含代理處長）聯合交接典禮暨宣誓典禮-3(20020102).jpg,本署所屬嘉義、新竹、花蓮及宜蘭行政執行處處長（含代理處長）聯合交接典禮暨宣誓典禮-3(20020102)
photo/enforcement place leader/本署所屬嘉義、新竹、花蓮及宜蘭行政執行處處長（含代理處長）聯合交接典禮暨宣誓典禮-4(20020102).jpg,本署所屬嘉義、新竹、花蓮及宜蘭行政執行處處長（含代理處長）聯合交接典禮暨宣誓典禮-4(20020102)
photo/enforcement place leader/本署所屬嘉義、新竹、花蓮及宜蘭行政執行處處長（含代理處長）聯合交接典禮暨宣誓典禮-5(20020102).jpg,本署所屬嘉義、新竹、花蓮及宜蘭行政執行處處長（含代理處長）聯合交接典禮暨宣誓典禮-5(20020102)
photo/enforcement place leader/本署所屬嘉義、新竹、花蓮及宜蘭行政執行處處長（含代理處長）聯合交接典禮暨宣誓典禮-6(20020102).jpg,本署所屬嘉義、新竹、花蓮及宜蘭行政執行處處長（含代理處長）聯合交接典禮暨宣誓典禮-6(20020102)
photo/enforcement place leader/本署所屬嘉義、新竹、花蓮及宜蘭行政執行處處長（含代理處長）聯合交接典禮暨宣誓典禮-7(20020102).jpg,本署所屬嘉義、新竹、花蓮及宜蘭行政執行處處長（含代理處長）聯合交接典禮暨宣誓典禮-7(20020102)
photo/enforcement place leader/本署會議室舉行所屬花蓮及宜蘭行政執行處二位代理處長聯合宣誓典禮，由林署長雲虎監交。新任花蓮行政執行處代理處長為唐先恆，宜蘭行政執行處代理處長為曾瑞慶-1(20030102).jpg,本署會議室舉行所屬花蓮及宜蘭行政執行處二位代理處長聯合宣誓典禮，由林署長雲虎監交。新任花蓮行政執行處代理處長為唐先恆，宜蘭行政執行處代理處長為曾瑞慶-1(20030102)
photo/enforcement place leader/本署會議室舉行所屬花蓮及宜蘭行政執行處二位代理處長聯合宣誓典禮，由林署長雲虎監交。新任花蓮行政執行處代理處長為唐先恆，宜蘭行政執行處代理處長為曾瑞慶-2(20030102).jpg,本署會議室舉行所屬花蓮及宜蘭行政執行處二位代理處長聯合宣誓典禮，由林署長雲虎監交。新任花蓮行政執行處代理處長為唐先恆，宜蘭行政執行處代理處長為曾瑞慶-2(20030102)
photo/enforcement place leader/本署會議室舉行所屬花蓮及宜蘭行政執行處二位代理處長聯合宣誓典禮，由林署長雲虎監交。新任花蓮行政執行處代理處長為唐先恆，宜蘭行政執行處代理處長為曾瑞慶-3(20030102).jpg,本署會議室舉行所屬花蓮及宜蘭行政執行處二位代理處長聯合宣誓典禮，由林署長雲虎監交。新任花蓮行政執行處代理處長為唐先恆，宜蘭行政執行處代理處長為曾瑞慶-3(20030102)
photo/enforcement place leader/本署會議室舉行所屬花蓮及宜蘭行政執行處二位代理處長聯合宣誓典禮，由林署長雲虎監交。新任花蓮行政執行處代理處長為唐先恆，宜蘭行政執行處代理處長為曾瑞慶-4(20030102).jpg,本署會議室舉行所屬花蓮及宜蘭行政執行處二位代理處長聯合宣誓典禮，由林署長雲虎監交。新任花蓮行政執行處代理處長為唐先恆，宜蘭行政執行處代理處長為曾瑞慶-4(20030102)
photo/enforcement place leader/本署會議室補行本署所屬十二個行政執行處處長宣誓儀式-1(20010119).jpg,本署會議室補行本署所屬十二個行政執行處處長宣誓儀式-1(20010119)
photo/enforcement place leader/本署會議室補行本署所屬十二個行政執行處處長宣誓儀式-2(20010119).jpg,本署會議室補行本署所屬十二個行政執行處處長宣誓儀式-2(20010119)
photo/enforcement place leader/本署會議室補行本署所屬十二個行政執行處處長宣誓儀式-3(20010119).jpg,本署會議室補行本署所屬十二個行政執行處處長宣誓儀式-3(20010119)
photo/enforcement place leader/本署會議室補行本署所屬十二個行政執行處處長宣誓儀式-4(20010119).jpg,本署會議室補行本署所屬十二個行政執行處處長宣誓儀式-4(20010119)
photo/enforcement place leader/臺北、台南、高雄三處新任首長聯合宣誓典禮-1(20030815).jpg,臺北、台南、高雄三處新任首長聯合宣誓典禮-1(20030815)
photo/enforcement place leader/臺北、台南、高雄三處新任首長聯合宣誓典禮-2(20030815).jpg,臺北、台南、高雄三處新任首長聯合宣誓典禮-2(20030815)
photo/enforcement place leader/臺北、台南、高雄三處新任首長聯合宣誓典禮-3(20030815).jpg,臺北、台南、高雄三處新任首長聯合宣誓典禮-3(20030815)
photo/enforcement place leader/臺北、台南、高雄三處新任首長聯合宣誓典禮-4(20030815).jpg,臺北、台南、高雄三處新任首長聯合宣誓典禮-4(20030815)
photo/enforcement place leader/行政執行署處卸新任處長交接及宣誓典禮-1(20070829).jpg,行政執行署處卸新任處長交接及宣誓典禮-1(20070829)
photo/enforcement place leader/行政執行署處卸新任處長交接及宣誓典禮-2(20070829).jpg,行政執行署處卸新任處長交接及宣誓典禮-2(20070829)
photo/enforcement place leader/行政執行署處卸新任處長交接及宣誓典禮-3(20070829).jpg,行政執行署處卸新任處長交接及宣誓典禮-3(20070829)
photo/enforcement place leader/行政執行署處卸新任處長交接及宣誓典禮-4(20070829).jpg,行政執行署處卸新任處長交接及宣誓典禮-4(20070829)
